id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,total_of_bookings,last_review,booking_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,year,month,dayname,estimated_revenue,initial_revenue,recommended_minimum_nights,recommended_price_per_night,recommended_revenue_min_nights,extended_stay_price,recommended_revenue_extended_stay,last_minute_discount,recommended_revenue_last_minute,total_recommended_revenue
952677,Standard Room Decor do Hostel,5171292,Somsak,Khlong San,13.7204,100.50757,Private room,700,2,4,2019-12-27,0.03,10,87,0,2019,12,Friday,42.0,42.0,2,770.0000000000001,46.2,5890.500000000001,44.17875000000001,669.9000000000001,4.019400000000001,94.39815000000002
55686,Comfy bedroom near River pier & BTS  Taksin.,263049,Tor,Sathon,13.71802,100.51539,Hotel room,1862,2,208,2019-12-02,1.44,7,361,0,2019,12,Monday,5362.5599999999995,5362.5599999999995,2,2048.2000000000003,5898.816000000001,15668.730000000001,5640.7428,1781.9340000000002,513.196992,12052.755792
965722,Siamese Gioia on Sukhumvit 31,5265861,Chuchart,Vadhana,13.74444,100.57003,Private room,3775,30,3,2018-12-24,0.05,1,364,0,2018,12,Monday,5662.5,5662.5,2,4341.25,434.125,33210.5625,415.13203125,3776.8875,37.76887500000001,887.0259062499999
973830,BangLuang House1 @ Bangkok Thailand,5325919,วสวัตติ์,Bangkok Yai,13.73292,100.46413,Private room,2078,1,76,2019-12-31,0.64,3,350,0,2019,12,Tuesday,1329.92,1329.92,2,2285.8,2925.824,17486.37,2797.8192,1988.6460000000002,254.54668800000002,5978.189888000001
159854,Deluxe one Bedroom Condo w.Pool-GYM & Sauna 8-7,766443,Gerd,Vadhana,13.74293,100.55603,Entire home/apt,1659,3,212,2022-12-08,1.58,3,207,7,2022,12,Thursday,7863.660000000001,7863.660000000001,2,1907.85,6028.806,14595.052499999998,5765.0457375,1659.8294999999998,524.506122,12318.3578595
978531,Urban Oasis in the heart of Bangkok,5309669,Apiradee,Sathon,13.72291,100.53759,Entire home/apt,5429,2,3,2018-12-18,0.03,3,174,0,2018,12,Tuesday,325.74,325.74,2,5971.900000000001,358.314,45685.035,342.6377625,5195.553000000001,31.173318000000005,732.1250805000001
1842066,ICONSIAM River view  on 49th floor,9626074,Weera,Bang Rak,13.72287,100.51678,Private room,2500,180,15,2015-12-08,0.14,1,88,0,2015,12,Tuesday,63000.00000000001,63000.00000000001,2,2750.0,770.0000000000001,21037.5,736.3125000000001,2392.5,66.99000000000001,1573.3025000000002
1849029,Self catering cozy1-bed near BTS,9652914,Jirasak,Vadhana,13.7137,100.59637,Entire home/apt,1300,30,7,2018-12-18,0.06,1,365,0,2018,12,Tuesday,2340.0,2340.0,2,1494.9999999999998,179.39999999999998,11436.749999999998,171.55124999999995,1300.6499999999999,15.6078,366.55904999999996
1862089,❂☀☀☀Perfect Escape☀☀☀Sunny Roof EnSuite☀☀☀☀,1927968,Evan,Sathon,13.72062,100.54707,Entire home/apt,1200,1,419,2022-12-07,3.77,37,355,1,2022,12,Wednesday,4524.0,4524.0,2,1320.0,9952.8,10098.0,9517.365,1148.4,865.8936000000001,20336.0586
988373,BangLuang House 2@ Bangkok Thailand,5325919,วสวัตติ์,Phasi Charoen,13.73122,100.46228,Entire home/apt,1795,1,95,2022-12-15,0.8,3,339,10,2022,12,Thursday,1436.0,1436.0,2,1974.5000000000002,3159.2000000000007,15104.925000000003,3020.9850000000006,1717.8150000000003,274.8504000000001,6455.035400000002
1862331,☞✪✪✪✪Roomy Studio 4 Family r friends✪No Stairs✪✪✪✪,8214044,Evan From Sanctuary House,Sathon,13.72073,100.5469,Entire home/apt,1450,1,268,2022-12-15,2.59,8,350,7,2022,12,Thursday,3755.5,3755.5,2,1595.0000000000002,8262.1,12201.750000000002,7900.633125,1387.65,718.8027000000001,16881.535825
1862377,☞Downtown Central Studio-Bangkok MRT,8214044,Evan From Sanctuary House,Sathon,13.72063,100.54694,Entire home/apt,1200,1,310,2022-12-11,3.0,8,331,9,2022,12,Sunday,3600.0,3600.0,2,1320.0,7920.0,10098.0,7573.5,1148.4,689.0400000000002,16182.54
1026451,"♡Chic Studio, Easy Walk to Pier & BTS Taksin♡",3346331,Bee,Sathon,13.71192,100.51535,Entire home/apt,866,2,472,2022-12-15,4.02,7,320,29,2022,12,Thursday,6962.639999999999,6962.639999999999,2,952.6,7658.9039999999995,7287.389999999999,7323.826949999999,828.7620000000001,666.324648,15649.055597999997
1052180,"City View, relaxed theme & delicious food around",5793490,Nicky,Bang Kho laen,13.69947,100.52726,Entire home/apt,890,2,29,2022-12-18,0.27,6,59,4,2022,12,Sunday,480.6,480.6,2,979.0000000000001,528.6600000000001,7489.350000000001,505.53112500000015,851.7300000000001,45.993420000000015,1080.1845450000003
1057173,"IdeoMix, Sukhumvit RD, close to BTS",5822937,Piya,Bang Na,13.67991,100.61055,Entire home/apt,922,14,170,2022-12-05,1.54,1,219,5,2022,12,Monday,19878.32,19878.32,2,1014.2,3123.7360000000003,7758.630000000001,2987.0725500000003,882.354,271.7650320000001,6382.573582000001
1067748,5 mins by car from Chong Nonsi BTS Station,4154759,Mimi,Sathon,13.71498,100.53312,Private room,1543,1,40,2022-12-09,0.46,4,149,10,2022,12,Friday,709.7800000000001,709.7800000000001,2,1697.3000000000002,1561.5160000000003,12984.345000000001,1493.1996750000003,1476.651,135.85189200000002,3190.5675670000005
1943048,"Best nr Chatujak, MRT, BTS free wifi&fNetflix",9906827,Nokiko,Chatu Chak,13.81694,100.56451,Entire home/apt,1271,1,293,2022-12-06,2.72,1,129,19,2022,12,Tuesday,3457.1200000000003,3457.1200000000003,2,1398.1000000000001,7605.664000000002,10695.465,7272.916200000001,1216.3470000000002,661.6927680000001,15540.272968000003
1961981,S1 hostel (Dorm) Sathorn Bangkok,10138065,S1,Sathon,13.72157,100.54509,Shared room,330,1,82,2019-12-09,0.83,3,358,0,2019,12,Monday,273.9,273.9,2,363.00000000000006,602.58,2776.9500000000003,576.217125,315.81000000000006,52.42446000000001,1231.221585
428950,BKK City Fab Luxx Studio free wifi @1194,2129668,Wimonpak,Bang Kho laen,13.698,100.52886,Entire home/apt,790,1,127,2022-12-14,1.0,41,365,5,2022,12,Wednesday,790.0,790.0,2,869.0000000000001,1738.0000000000002,6647.85,1661.9625,756.0300000000001,151.20600000000002,3551.1685000000007
450464,9. Bangkok Mini Stylish Studio 205,2129668,Wimonpak,Bang Kho laen,13.70039,100.52806,Entire home/apt,720,1,40,2022-12-12,0.4,41,359,3,2022,12,Monday,288.0,288.0,2,792.0000000000001,633.6000000000001,6058.8,605.88,689.0400000000001,55.12320000000002,1294.6032
1982413,Hip Studio ♥ Of BKK+River+BTS+WIFI,3346331,Bee,Sathon,13.71278,100.5156,Entire home/apt,811,2,404,2022-12-15,3.67,7,304,19,2022,12,Thursday,5952.74,5952.74,2,892.1,6548.014,6824.5650000000005,6261.538387500001,776.1270000000001,569.677218,13379.2296055
1986193,Condo QUATTRO @Thonglor Near BTS,10246374,Arika,Vadhana,13.72873,100.58039,Entire home/apt,2000,7,6,2022-12-16,0.05,3,62,1,2022,12,Friday,700.0,700.0,2,2300.0,230.0,17595.0,219.9375,2001.0,20.010000000000005,469.9475
1160838,Spacious 2 Bedroom Apartment near BTS-non smoking,1513875,Suchada,Phaya Thai,13.7736,100.54079,Entire home/apt,2571,3,109,2022-12-18,1.15,4,342,56,2022,12,Sunday,8869.949999999999,8869.949999999999,2,2828.1000000000004,6504.63,21634.965,6220.0524374999995,2460.447,565.9028099999999,13290.5852475
1208204,Deluxe Condo at perfect location 2-0,766443,Gerd,Vadhana,13.73757,100.55996,Entire home/apt,1485,3,206,2022-12-14,1.83,3,130,20,2022,12,Wednesday,8152.650000000001,8152.650000000001,2,1707.7499999999998,6250.365,13064.287499999999,5976.91153125,1485.7424999999998,543.781755,12771.05828625
2068795,Wow! Entire 3 story house in Bangkok,9390848,VeeZa,Dusit,13.77537,100.52383,Entire home/apt,2814,1,271,2022-12-20,2.97,1,154,2,2022,12,Tuesday,8357.58,8357.58,2,3095.4,18386.676000000003,23679.81,17582.258925000002,2692.998,1599.6408120000003,37568.57573700001
581755,Brand New room near Airport Railway,2864425,Urcha,Bang Kapi,13.75056,100.60844,Private room,1316,5,1,2013-12-03,0.01,1,364,0,2013,12,Tuesday,65.8,65.8,2,1447.6000000000001,28.952,11074.140000000001,27.685350000000003,1259.412,2.518824,59.15617400000001
605314,☀ ☼Sky bedroom with a smooth life view☼☀,1927968,Evan,Sathon,13.72061,100.54706,Entire home/apt,750,1,426,2022-12-08,3.39,37,344,10,2022,12,Thursday,2542.5,2542.5,2,825.0000000000001,5593.500000000001,6311.250000000001,5348.784375000001,717.7500000000001,486.6345000000001,11428.918875000003
605343,✬Sweet Dreams in the Center of Bangkok@Sky House✬,1927968,Evan,Sathon,13.72062,100.54709,Entire home/apt,693,1,224,2022-12-13,1.84,37,349,4,2022,12,Tuesday,1275.1200000000001,1275.1200000000001,2,762.3000000000001,2805.2640000000006,5831.595,2682.5337000000004,663.201,244.05796800000005,5731.855668000001
1227663,Hip Luxury Apt in Best Location,5469059,Andrew,Parthum Wan,13.74088,100.54102,Entire home/apt,3097,12,120,2022-12-04,1.03,1,54,1,2022,12,Sunday,38278.92,38278.920000000006,2,3406.7000000000003,7017.802000000001,26061.255,6710.773162500001,2963.829,610.5487740000001,14339.123936500002
723070,"One Bed apartmentm,The Seed Mingle condo, Bangkok",3734436,Chok,Sathon,13.72075,100.53993,Entire home/apt,1558,21,2,2018-12-05,0.04,2,364,0,2018,12,Wednesday,1308.72,1308.72,2,1713.8000000000002,137.104,13110.57,131.1057,1491.006,11.928048,280.137748
1296322,Mini chic Apartment -BTS S Taksin,2129668,Wimonpak,Sathon,13.71425,100.51332,Entire home/apt,703,1,206,2022-12-14,1.79,41,355,6,2022,12,Wednesday,1258.3700000000001,1258.3700000000001,2,773.3000000000001,2768.414,5915.745000000001,2647.2958875000004,672.7710000000001,240.85201800000004,5656.561905500001
2130543,Bangkok Riverside near Asiatique,8954433,Benz,Bang Kho laen,13.7016,100.50262,Entire home/apt,4800,2,18,2016-12-24,0.2,2,357,0,2016,12,Saturday,1920.0,1920.0,2,5280.0,2112.0,40392.0,2019.6000000000001,4593.6,183.74400000000006,4315.344
2135883,Elegant 2-Brm Condo in Heart of Bangkok,10899693,Gerald,Bang Rak,13.72543,100.53838,Entire home/apt,5195,3,95,2022-12-13,0.92,1,236,14,2022,12,Tuesday,14338.2,14338.2,2,5714.500000000001,10514.680000000002,43715.925,10054.662750000001,4971.615000000001,914.7771600000002,21484.119910000005
811670,Lovely quaint Bangkok home,4268095,Ann,Din Daeng,13.78499,100.56958,Entire home/apt,2000,2,26,2022-12-11,0.22,1,336,2,2022,12,Sunday,880.0,880.0,2,2200.0,968.0,16830.0,925.65,1914.0,84.21600000000001,1977.866
1341890,"MODERN STUDIO SKYTRAIN, WIFI, 40%Monthly Discount!",7278395,Niramol,Huai Khwang,13.74538,100.59943,Entire home/apt,888,7,53,2022-12-06,0.46,8,127,7,2022,12,Tuesday,2859.36,2859.36,2,976.8000000000001,898.6560000000001,7472.52,859.3398000000001,849.816,78.18307200000001,1836.1788720000002
822214,Jade House overlooking Pool near new skytrain,822284,Rae And Charlie,Bang Sue,13.83148,100.52307,Entire home/apt,1200,3,21,2022-12-22,0.18,7,124,1,2022,12,Thursday,648.0,648.0,2,1320.0,475.2,10098.0,454.40999999999997,1148.4,41.3424,970.9523999999999
2162578,"3min to BTS, Late Checkout, WiFi, Pool, Cable, BNH",1140715,Chonnikan,Bang Rak,13.72425,100.53087,Entire home/apt,2147,5,101,2022-12-14,0.95,2,221,10,2022,12,Wednesday,10198.25,10198.25,2,2361.7000000000003,4487.2300000000005,18067.005,4290.9136875,2054.679,390.38901000000004,9168.5326975
852063,2BR Apt. near Sathon Silom-free WIFI,4396467,Sujin,Sathon,13.71972,100.54924,Entire home/apt,1693,30,25,2022-12-03,0.21,2,176,4,2022,12,Saturday,10665.9,10665.9,2,1862.3000000000002,782.166,14246.595,747.9462374999999,1620.2010000000002,68.04844200000001,1598.1606795
1353517,95 sqm. 2 br. 1-5 people. Next to thonglor bts,7327298,Notee,Khlong Toei,13.72393,100.57647,Entire home/apt,3300,5,26,2022-12-18,0.3,3,13,9,2022,12,Sunday,4950.0,4950.0,2,3794.9999999999995,2276.9999999999995,29031.749999999993,2177.3812499999995,3301.6499999999996,198.09899999999996,4652.480249999999
858311,"River view penthouse 30 Fl, 5 Pers,  taxi included",4491588,Donald,Khlong San,13.72135,100.508,Entire home/apt,7929,2,256,2022-12-15,2.13,1,267,43,2022,12,Thursday,33777.54,33777.54,2,8721.900000000001,37155.294,66722.535,35529.7498875,7588.053000000001,3232.5105780000004,75917.55446550001
858338,✩Vibrant street✩Cozy n Cool near MRT Silom/center✩,1927968,Evan,Sathon,13.72065,100.54713,Entire home/apt,850,1,278,2022-12-12,2.31,37,293,10,2022,12,Monday,1963.5,1963.5,2,935.0000000000001,4319.700000000001,7152.750000000001,4130.713125,813.45,375.81390000000005,8826.227025
861105,Home Sweet Home For Your Family near new skytrain,822284,Rae And Charlie,Bang Sue,13.83235,100.5228,Entire home/apt,1500,3,37,2019-12-18,0.31,7,107,0,2019,12,Wednesday,1395.0,1395.0,2,1650.0000000000002,1023.0000000000001,12622.500000000002,978.2437500000001,1435.5000000000002,89.00100000000002,2090.2447500000003
